cityid,city,county
970,Mariner,Orange
971,Mariposa,Mariposa
972,Markleeville,Alpine
973,Marsh Manor,San Mateo
974,Marshall,Marin
975,Martell,Amador
976,Martinez,Contra Costa
977,Marysville,Yuba
978,Mather,Tuolumne
979,Mather ,Sacramento
980,Maxwell,Colusa
981,Maywood,Los Angeles
982,McArthur,Shasta
983,McClellan,Sacramento
984,McCloud,Siskiyou
985,McFarland,Kern
986,McKinleyville,Humboldt
987,McKittrick,Kern
988,Mead Valley,Riverside
989,Meadow Valley,Plumas
990,Meadow Vista,Placer
991,Meadowbrook,Riverside
992,Mecca,Riverside
993,Meeks Bay,El Dorado
994,Meiners Oaks,Ventura
995,Mendocino,Mendocino
996,Mendota,Fresno
997,Menifee,Riverside
998,Menlo Park,San Mateo
999,Mentone,San Bernardino
1000,Merced,Merced
1001,Meridian,Sutter
1002,Mettler,Kern
1003,Meyers,El Dorado
1004,Middletown,Lake
1005,Midland,Riverside
1006,Midpines,Mariposa
1007,Midway City,Orange
1008,Milford,Lassen
1009,Mill Creek,Tehama
1010,Mill Valley,Marin
1011,Millbrae,San Mateo
1012,Millville,Shasta
